,API Name,API Url,API Cat,API Desc
1, Nmap,https://www.programmableweb.com/api/nmap, Security, This method is used to create Nmap scan.
2, Fun Generators Lottery Number generation,https://www.programmableweb.com/api/fun-generators-lottery-number-generation, Entertainment, Generate lottery numbers for over 300+ lottery games around the world. Super easy REST based API.
3, Fun Generators Barcode ,https://www.programmableweb.com/api/fun-generators-barcode, eCommerce, Generate barcodes or read barcode images and decode them to barcode numbers. Our barcode API supports most of the major barcode formats.
4, Fun Generators UUID Generation and Parsing,https://www.programmableweb.com/api/fun-generators-uuid-generation-and-parsing, Algorithms, Generate random UUID. Easy to use REST API with complete UUID features support. RFC 4122 based UUIDs as well as non standard version 6 uuid are supported. UUID string parsing is also available to...
5, QA Touch,https://www.programmableweb.com/api/qa-touch, Software-as-a-Service," Seamless instant synchronization of your automation test results
Create, view and update test modules in QA Touch such as Requirements, Test Cases, Test Runs,
Issues, Releases and Projects"
6, MX Platform,https://www.programmableweb.com/api/mx-platform, Financial, The MX API is designed to aggregate and enhance financial data with the ability to interact and connect to your applications or website to tens of thousands of financial institutions. This MX API is...
7, Craft CMS,https://www.programmableweb.com/api/craft-cms, Content," Craft Pro provides an autogenerated GraphQL API for content, to pull your into separate applications, such as single-page apps or static site generators. Craft is a flexible, user-friendly CMS for..."
8, Thomson Reuters ONESOURCE,https://www.programmableweb.com/api/thomson-reuters-onesource, Taxes, These ONESOURCE APIs use a REST architecture that provides communication via the Thomson Reuters API gateway and allows you to directly access the Thomson Reuters DataFlow content library resources...
9, Thomson Reuters ONESOURCE Calendar,https://www.programmableweb.com/api/thomson-reuters-onesource-calendar, Taxes, These ONESOURCE APIs use a REST architecture that provides communication via the Thomson Reuters API gateway and allows you to directly access the Thomson Reuters Calendar content library resources...
10, IntelOwl,https://www.programmableweb.com/api/intelowl, Security, The IntelOwl API provides a way to integrate applications and get data from multiple sources with a single API request. IntelOwl builds solutions to help communities with the generation of threat...
11, PeopleStrong ,https://www.programmableweb.com/api/peoplestrong, Human Resources," The PeopleStrong API enables you with the ability to; get a list of all employees, the current leave balance of an employee, submit leave requests and more. This includes services for; Employee..."
12, Datashake ,https://www.programmableweb.com/api/datashake, Data," The Datashake API provides a way to retrieve information for a given review profile, return the actual reviews from the scrape, retrieve a list of all your review profile jobs and more. This API..."
13, OnCrawl ,https://www.programmableweb.com/api/oncrawl, SEO," The OnCrawl REST API provides a way to access OnCrawl data and manage projects. Access to this API requires that you have an account, active subscription and API access Token. OnCrawl is a..."
14, eBay Sell Feed ,https://www.programmableweb.com/api/ebay-sell-feed, Marketplace," This eBay Feed API allows sellers to upload input files, download reports and files with status, the ability to filter reports, retrieve customer service metrics task details and more. It lets..."
15, eBay Buy Deal,https://www.programmableweb.com/api/ebay-buy-deal, Marketplace," This eBay Deal API provides developers with the ability to search for and retrieve details about eBay deals and events. It allows you to retrieve a paginated set of deal items, return a paginated..."
16, Rosetta ,https://www.programmableweb.com/api/rosetta, Blockchain, This Rosetta Node API is a Specification for blockchain data format and interacting with a blockchain node. It provides a configuration for an automated deployment of the implementation using a...
17, API Spot Currency Converter,https://www.programmableweb.com/api/api-spot-currency-converter, Currency, Currency Conversion API
18, API Spot Email Filter,https://www.programmableweb.com/api/api-spot-email-filter, Tools, Email Validation API
19, API Spot Domain Toolkit,https://www.programmableweb.com/api/api-spot-domain-toolkit, Tools," Domain Names Toolkit API. WHOIS, Domain Check, Reverse WHOIS and IP Lookup"
20, Workadu,https://www.programmableweb.com/api/workadu, Business," The Workadu’s API is a RESTful service that is designed to; Create a new Service, Delete a Service, Create a new Price List, Get Specific Service and more. It provides a way to update and delete..."
21, Backblaze S3 Compatible ,https://www.programmableweb.com/api/backblaze-s3-compatible, Storage," The Backblaze S3 Compatible API allows existing S3 integrations and SDKs to easily integrate with Backblaze B2 Cloud Storage with supported calls to; Abort Multipart Upload, Complete, Multipart..."
22, CopperEgg Cloud,https://www.programmableweb.com/api/copperegg-cloud, Monitoring, Copperegg builds services to visualize cloud infrastructure performance.
23, Service Objects DOTS Address Geocode International,https://www.programmableweb.com/api/service-objects-dots-address-geocode-international, Tools," Service Objects DOTS Address Geocode International provides latitude, longitude and metadata for international addresses and places. The API follows conventions for each country’s postal system for..."
24, Hoverfly,https://www.programmableweb.com/api/hoverfly, Tools, Hoverfly was designed to create a dependency sandbox that is a simulated development and test environment. It is a lightweight open source API simulation tool that allows you to create realistic...
25, Beaconstac QR Code,https://www.programmableweb.com/api/beaconstac-qr-code, QR Codes," QR Code generator API built for all your business needs.
Integrate the QR Code API into your app or website to create QR Codes automatically at scale."
26, Investabit,https://www.programmableweb.com/api/investabit, Cryptocurrency," Investabit market intelligence provides cryptocurrency tools including Machine Learning libraries, algorithmic trading infrastructure, and data aggregation. The Investabit API enables market..."
27, USPS Merchandise Return Bulk Label,https://www.programmableweb.com/api/usps-merchandise-return-bulk-label, Shipping, The USPS Merchandise Return Bulk Label API allows developers to get Merchandise Return labels in bulk. Using label APIs requires extra permissions; contact the Internet Customer Care Center to...
28, Serato,https://www.programmableweb.com/api/serato, Music," Serato provides audio software for DJs and producers. Serato offers an interface to connect to Serato Web Services which enable partner promotion management, program management, and user management...."
29, Inoreader ,https://www.programmableweb.com/api/inoreader, Content," The Inoreader API provides methods that returns basic information about the logged in user, will fetch the unread counters for folders, tags and feeds, returns the articles for a given collection and..."
30, Spott,https://www.programmableweb.com/api/spott, Tools," The Spott API provides tools for applications to search for cities, countries and administrative divisions by name, autocompletion or IP. It returns the place where a given IP Address is located,..."
31, Datawrapper,https://www.programmableweb.com/api/datawrapper, Data," The Datawrapper API allows users to programmatically interface with Datawrapper chart creation service. It is a REST service that provides a way to build a chart viewer, embed charts, view, edit..."
